accountCreation,SavingsAccountCreation,CreateStandingInstruction,savingsAccountCreationDate,creditCardAccountCreation,creditCardCreationDate,transaction,day,month,year,amount,interestPosting,statementGeneration,Standinginstruction,AchProcessing,reference,creditProduct,creditCardProductId,clientEnvironment,savingsProductId,InterestPostingJob,StatementGenerationJob,StandinginstructionJob,clientId,instructionType
yes,yes,yes,01 March 2021,yes,01 March 2021,,1,3,2021,,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,purchase,15,3,2021,1000,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,PURCHASE_INTERNATIONAL_FEE,15,3,2021,50,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,cashAdvance,15,3,2021,1000,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,DOMESTIC_ATM_WITHDRAWAL_FEE,15,3,2021,50,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,,1,4,2021,,yes,yes,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,purchase,15,4,2021,1000,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,PURCHASE_INTERNATIONAL_FEE,15,4,2021,50,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,cashAdvance,15,4,2021,1000,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,DOMESTIC_ATM_WITHDRAWAL_FEE,15,4,2021,50,no,no,no,no,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
no,no,no,NA,yes,NA,,25,4,2021,,no,no,yes,yes,Validating purchase transction.,87,1526,MbanqStage,141,47,45,10,16155,1
